seat,bioguide,party,name,BLUF
CA-7,M001163,D,Doris Matsui,"Clinton White House veteran who succeeded her late husband in Congress in 2005; Matsui is active on telecommunications, community-based mental health, and district-specific infrastructure issues"
CA-8,G000559,D,John Garamendi,Seasoned Democrat with four decades of experience at the state and national levels; carries over foreign service and economic experience
CA-9,H001090,D,Josh Harder,Recently elected Democrat focused on agriculture and reforming the immigration system to support the local economy and immigrant community 
CA-10,D000623,D,Mark DeSaulnier,"Restaurateur turned local, state, and national politician who has a wide range of policy priorities; engages with individuals directly to hear their concerns"
CA-11,P000197,D,Nancy Pelosi,"The first woman to serve as speaker of the house and longtime top House Democrat, Pelosi is a strategic coalition-builder whose prolific fundraising skills and tactful vote counting abilities have solidified her power within the party"
CA-12,S001231,D,Lateefah Simon,Lifelong San Franciscan and civil rights advocate handpicked by California Democrats to represent the state's 12th District
CA-13,G000605,D,Adam Gray,"Merced-native known for his fierce defense of the area's water resources in the California Legislature; ran for Congress on a moderate, locally-focused platform in a newly created district"
CA-14,S001193,D,Eric Swalwell,Career prosecutor formerly involved with local government; known for his engagement with young voters and leadership on election security legislation 
CA-15,M001225,D,Kevin C. Mullin,"Communications entrepreneur and legacy legislator, Mullin won election in 2022 to fill an open, deeply Democratic seat in the southern Bay Area"
CA-16,L000607,D,Sam Liccardo,"Longtime San Jose lawyer and former mayor runs on an affordability, cost of living platform"
CA-17,K000389,D,Ro Khanna,"A former intellectual property lawyer who represents an affluent, technology manufacturing-focused district; takes a pragmatic approach to policy that merges capitalist economic ideals with progressive social change"
CA-18,L000397,D,Zoe Lofgren,"Bay Area native with a 25-year tenure in Congress; passionate about reforming elections and the immigration system, and advocating for tech policy that strengthens consumer privacy "
CA-19,P000613,D,Jimmy Panetta,"A former district attorney with military experience, Panetta represents a coastal California district and focuses on immigration, agriculture, and clean energy incentives "
CA-20,F000480,R,Vince Fong,Experienced assembly member Vince Fong succeeded former Speaker Kevin McCarthy after winning a special election in 2024
CA-21,C001059,D,Jim Costa,Northern California native with four decades of public service experience; prioritizes water resource development policy for drought-prone district 
CA-22,V000129,R,David Valadao,"Local dairy farmer who prioritized agricultural needs and drought relief during his three terms in Congress; after a narrow defeat in 2018, Valadao won re-election to his Central Valley seat in 2020"
CA-23,O000019,R,Jay Obernolte,"Video game developer turned local and state politician, Obernolte's 2020 congressional campaign emphasized his fiscally conservative record rolling back California taxes and government oversight achievements "
CA-24,C001112,D,Salud Carbajal,"A veteran and immigrant with a broad policy focus, Carbajal is considered a centrist leader on gun control, the environment, and infrastructure"
CA-25,R000599,D,Raul Ruiz,"Emergency room physician with humble Coachella Valley roots; dedicated to improving health care in disadvantaged communities, supporting veterans, and combating climate change "
CA-26,B001285,D,Julia Brownley,"After dedicating the majority of her career to increasing accessibility and quality of education, Brownley has spent her congressional tenure advocating for improvements to the VA and veterans' healthcare"
CA-27,W000830,D,George Whitesides,Former NASA Chief of Staff and space entrepreneur looks to bring tech leadership to Washington
CA-28,C001080,D,Judy Chu,"A former professor and California state lawmaker, Chu is known for her strong liberal voting record and progressive legislation on issues such as women's rights, small businesses, and immigration reform"
CA-29,R000620,D,Luz Rivas,"Democratic state lawmaker, Founder of girls' STEM group, and MIT-trained engineer represents the neighborhood where she grew up "
CA-30,F000483,D,Laura Friedman,"Experienced filmmaker and California assemblymember, Laura Friedman replaced Adam Schiff in the House"
CA-31,C001123,D,Gil Cisneros,"Navy veteran, lottery-winner philanthropist, politician values his community"
CA-32,S000344,D,Brad Sherman,"A wonky lawmaker who advocates for greater regulation of Wall Street, Sherman generally takes liberal positions but is not beholden to party base; former tax lawyer and regulator known for his intellect "
CA-33,A000371,D,Pete Aguilar,Centrist Democrat and seasoned local government official who gained prominence for his leadership during the 2010 financial crisis; pushes for education and economic development funding through bipartisan deal making 
CA-34,G000585,D,Jimmy Gomez,"Raised in a blue-collar, immigrant family, Gomez works to promote economic justice through climate policy, health care, and immigration reform"
CA-35,T000474,D,Norma Torres,"Local leader turned Congresswoman whose policy focus encompasses immigration, homeland security and affordable access to community services"
CA-36,L000582,D,Ted Lieu,"Air Force veteran and son of Taiwanese immigrants has become a voice for cybersecurity, veterans affairs, foreign policy, and civil liberties "
CA-37,K000400,D,Sydney K. Kamlager-Dove,"Rapidly rising star in the California legislature who won election to a Los Angeles-based congressional seat in 2022; prioritizes health care, climate, and criminal justice legislation"
CA-38,S001156,D,Linda Sánchez,"An experienced state politician from Southern California, Sanchez leverages her background as a labor lawyer to advocate for health care and financial safety nets for working people and families"
CA-39,T000472,D,Mark Takano,Takano uses his experience as a public school teacher to drive progressive reform while working bipartisan solutions for veterans 
CA-40,K000397,R,Young Kim,"A first generation American, longtime congressional district office staffer, and former state assemblywoman, Kim defeated a centrist Democratic incumbent on a platform of reducing taxes, helping businesses, and seeking compromise on immigration and health care "
CA-41,C000059,R,Ken Calvert,"Longtime California Republican who supports funding national defense, addressing illegal immigration, and lowering taxes for businesses and individuals "
CA-42,G000598,D,Robert Garcia,"A former university educator and sitting mayor of Long Beach, California, Garcia won election in 2022 to become the representative of California's 42nd District "
CA-43,W000187,D,Maxine Waters,"Progressive Democrat whose long career has steadily grown in prominence, Waters maintains a consistent focus on racial justice and financial protections"
CA-44,B001300,D,Nanette Barragán,"An immigration lawyer and former local government official, Barragan has found a policy niche in environmental and health justice during her first two terms in Congress"
CA-45,T000491,D,Derek Tran,"Long time resident of Southern California and son of Vietnamese immigrants, Tran prides himself on his military and legal experiences as well as his community service"
CA-46,C001110,D,Lou Correa,"A former state lawmaker from southern California, Correa leverages his local policymaking experience at the federal level, focusing on education, immigration reform, and border security"
CA-47,M001241,D,David Min,Lifelong Orange County resident and State Senator vies for crucial district seat in the House
CA-48,I000056,R,Darrell Issa,"A successful inventor who previously spent 18 years in Congress and carved a niche for himself on technology, government reform, and oversight matters, Issa successfully ran in a new district on his extensive Congressional experience and partisan loyalties "
CA-49,L000593,D,Mike Levin,"Progressive lawyer with deep ties to the clean energy industry who represents a San Diego-area district; focuses on veterans affairs, the environment, and climate change "
CA-50,P000608,D,Scott Peters,Career public servant heavily involved in environmental issues prior to running for Congress; interested in biomedical technology and environmental protection
CA-51,J000305,D,Sara Jacobs,"A former State Department and United Nations official with a background in global health and child welfare; successfully ran for Congress on health care, environment, and immigration policies "
CA-52,V000130,D,Juan Vargas,"Party-loyal Democrat representing a diverse border district; works closely with the San Diego community, using his upbringing as the son of working-class immigrants to relate to constituents"
CO-1,D000197,D,Diana DeGette,Former public interest attorney focused on health and pharmaceutical policy; Denver native with longstanding advocacy for reproductive rights
CO-2,N000191,D,Joe Neguse,"Attorney and former state government official promotes expanding access to health care, protecting public lands, and standing up for immigrants in the United States"
CO-3,H001100,R,Jeff Hurd,"Former New York City attorney, Hurd returned to his Colorado roots to raise a family "
CO-4,B000825,R,Lauren Boebert,"Local restaurateur and gun rights advocate campaigned on strong social conservatism, and alignment with the Trump administration; survived move to new district following scandal"
CO-5,C001137,R,Jeff Crank,"Conservative businessman, advocate, and radio host vying for the CO-5 seat"
CO-6,C001121,D,Jason Crow,Former Army Ranger flipped the seat and won his last three reelections by nearly 20 points 
CO-7,P000620,D,Brittany Louise Pettersen,A lifelong Colorado resident gained a decade's worth of legislative experience in the state House before replacing retired Rep. Ed Perlmutter
CO-8,E000300,R,Gabe Evans,Former police officer and Colorado state Rep. Gabe Evans vies to represent Colorado 8th Congressional District 
CT-1,L000557,D,John Larson,"Thirteen-term congressman and former state legislator, Larson is passionate about social security, medical rights, and manufacturing policy"
CT-2,C001069,D,Joe Courtney,"Known for working across the aisle, Courtney prioritizes education, health care, and seapower defense"
CT-3,D000216,D,Rosa DeLauro,"Progressive policymaker and former advocate, DeLauro leverages her extensive congressional experience to advocate for access to health care, working families, the expansion of women's rights, worker protections, and fair trade"
CT-4,H001047,D,Jim Himes,"Centrist Democrat Himes' policy priorities, including defense, fiscal responsibility, and education, are shaped by his time on Wall Street and in the nonprofit sector"
CT-5,H001081,D,Jahana Hayes,"A nationally recognized teacher, Hayes leverages her background to support low income communities by expanding access to education and affordable health care"
DE-AL,M001238,D,Sarah McBride,"Former Delaware state senator advocate for transgender rights, McBride interned for the Obama White House and was a National Press Secretary for the Human Rights Campaign before joining Congress"
FL-1,,R,,
FL-2,D000628,R,Neal Dunn,Army veteran and doctor who has become a leading Congressional advocate for veterans' health care
FL-3,C001039,R,Kat Cammack,"Small business owner and former Congressional staffer for Rep. Ted Yoho (R-FL3), Cammack successfully campaigned for her former boss' House seat on a platform closely aligned to President Trump's"
FL-4,B001314,R,Aaron Paul Bean,"Lifelong North Floridian, public servant, and business owner, Bean prioritizes family and youth policies"
FL-5,R000609,R,John Rutherford,"A career law enforcement official and former sheriff of Jacksonville, Rutherford focuses on veterans affairs and public safety in Congress"
FL-6,,,,
FL-7,M001216,R,Cory Mills,"An Army veteran, business owner and Florida native, Mills emphasizes energy independence and national defense "
FL-8,H001099,R,Mike Haridopolos,"Former Florida state senator, Haridopolos replaced Rep. Bill Posey after the 2024 election cycle"
FL-9,S001200,D,Darren Soto,Civil rights attorney who formerly served in state and local politics; active on virtual currency regulation through seat on Energy and Commerce subcommittees
FL-10,F000476,D,Maxwell Frost,Young grassroots political organizer who promotes progressive policies to connect to Gen Z's political discontent
FL-11,W000806,R,Daniel Webster,Stalwart conservative with a long history of involvement in Florida politics; aims to lower government spending while establishing institutions to solve funding and coordination policy issues
FL-12,B001257,R,Gus Bilirakis,Former attorney who replaced his father in the US House; focuses primarily on veterans' affairs and healthcare
FL-13,L000596,R,Anna Paulina Luna,"An Air Force veteran from southern California, Luna aims to represent Hispanic voices in Congress"
FL-14,C001066,D,Kathy Castor,Former land use attorney and county official who has become a leading voice on Democratic climate change policy
FL-15,L000597,R,Laurel Lee,"Former circuit judge and Florida secretary of state, Lee aims to lower federal spending and establish US energy independence "
FL-16,B001260,R,Vern Buchanan,"A self-made business founder with more than a decade of experience representing Florida in Congress, Buchanan focuses on simplifying the tax code and promoting business growth for entrepreneurs and the Florida economy"
FL-17,S001214,R,Greg Steube,"South Florida native and US Army veteran is committed to pursuing Second Amendment rights, benefits for veterans, and support for the Trump administration in Congress"
FL-18,F000472,R,Scott Franklin,NNaval aviator and entrepreneur who focuses on ethics over policy
FL-19,D000032,R,Byron Donalds,Conservative state lawmaker who focused on his criminal justice and education policy record
FL-20,C001127,D,Sheila Cherfilus-McCormick,Health care management executive who aims to implement progressive policies as the new representative for her south Florida district
FL-21,M001199,R,Brian Mast,"Purple Heart veteran turned representative who prioritizes foreign affairs and national security, as well as preserving the environment of his Florida district"
FL-22,F000462,D,Lois Frankel,"Attorney and long-time public servant passionate about protecting the rights of vulnerable populations; priority issues include women's rights, gun control, and preventing Medicare fraud"
FL-23,M001217,D,Jared Moskowitz,"Longtime state and local public official known for policy successes in gun control, Israel, and emergency management"
FL-24,W000808,D,Frederica Wilson,"Educator turned politician, known for her consistent advocacy on behalf of the less fortunate, solidly liberal voting record, and support for issues such as job creation, economic and social justice, and health care"
FL-25,W000797,D,Debbie Wasserman Schultz,A prominent Democratic figure who balances party leadership ambitions with her policy interests of women's health and foreign affairs
FL-26,D000600,R,Mario Diaz-Balart,Son of Cuban political leaders forced out by Castro; leading congressional advocate against the Cuban regime and nuanced immigration policymaker
FL-27,S000168,R,Maria Salazar,"A key Republican in bipartisan efforts, the veteran TV journalist unexpectedly defeated an incumbent Democrat in 2020 leveraging economic policies and anti-socialism rhetoric"
FL-28,G000593,R,Carlos Giménez,"Former firefighter, city official, and most recent Mayor of Miami-Dade County; now in Congress, Gimenez is focused on reforming government to more efficiently operate on a lower budget"
GA-1,C001103,R,Buddy Carter,"Pharmacist, businessman, and public servant, Carter continues to represent his home district in the House; advocates for health care reform and reducing prescription drug costs, while also working to create jobs"
GA-2,B000490,D,Sanford Bishop,"A longtime public servant and attorney, Bishop leverages his leadership roles on various Appropriations subcommittees to secure funding for his district's agricultural programs and military bases"
GA-3,J000311,R,Brian Jack,"Worked for the Trump campaign in 2016, rising to director of political affairs, and now brings strong conservative stances on immigration and federal spending to Congress"
GA-4,J000288,D,Hank Johnson,"Longtime criminal defense attorney and judge turned policymaker, Johnson has spent over a decade in Congress focused on civil rights, consumer protection, and budgetary policy"
GA-5,W000788,D,Nikema Natassha Williams,"Trailblazing Georgia Democratic Party leader with deep roots in activism, Williams used her position on the state legislature to advocate for women's rights, voting rights reform, and improved health care access and continues that work in Congress"
GA-6,M001208,D,Lucy McBath,"Former flight attendant turned activist after her son was killed, McBath emphasizes a message of reform and bipartisanship as the first Black woman elected to the formerly Republican district"
GA-7,M001218,R,Richard McCormick,Emergency room doctor and Marine Corps veteran McCormick focuses on health care reform and national security
GA-8,S001189,R,Austin Scott,"A former small businessman and insurance broker with over two decades of experience representing Georgia at the state and federal level, Scott is active on agriculture and defense issues impacting his rural district"
GA-9,C001116,R,Andrew Clyde,Navy veteran who ran for Congress on a strong conservative platform that heavily emphasized limited government and low taxes
GA-10,C001129,R,Mike Collins,"Business owner who ran as an ""outsider"" in Georgia's open, solidly Republican 10th District; closely affiliates with Trump's allies, policies, and claims of fraud in the 2020 election"
GA-11,L000583,R,Barry Loudermilk,Staunch conservative with a background in IT and cybersecurity; advocates for major overhauls to government beneficiary programs and federal agencies
GA-12,A000372,R,Rick Allen,"A Georgia native and former business owner, Allen focuses on district-specific legislation to increase business protections for his state's agricultural industry; supports school choice educational reforms"
GA-13,S001157,D,David Scott,Longtime Georgia legislator who uses his leadership positions in Congress to push for agricultural reforms and financial protections for struggling homeowners; chairs House Agriculture Committee
GA-14,G000596,R,Marjorie Taylor Greene,Georgian businesswoman embarking on her first experience in politics; campaigned on a strong fiscally and socially conservative platform
HI-1,C001055,D,Ed Case,"A lawyer and longtime Hawaiian politician in his second stint as a representative, Case advocates for the Pacific Islands region and prioritizes the Native Hawaiian community"
HI-2,T000487,D,Jill Tokuda,"A Hawaii native who focused on fiscal issues during her tenure as state senator, Tokuda was elected as representative for Hawaii's 2nd District in 2022"
IA-1,M001215,R,Mariannette Jane Miller-Meeks,"Army veteran turned ophthalmologist, Miller-Meeks prioritizes health care access and lowering health costs"
IA-2,H001091,R,Ashley Hinson,"A former journalist and state representative, Hinson aims to bring a conservative voice to Iowa's 1st Congressional District, emphasizing health care reform, workforce development, and support for the agricultural economy"
IA-3,N000193,R,Zach Nunn,"A native Iowan, military veteran, and experienced state legislator, Zach Nunn was reelected to represent Iowa's 3rd Congressional District "
IA-4,F000446,R,Randy Feenstra,"Iowa state legislator and former local government official elected to represent the rural, agriculture-dependent district he was born in; Feenstra focuses on lowering taxes, addressing the deficit, and supporting farmers"
ID-1,F000469,R,Russ Fulcher,"A former tech business executive with a decade of experience in the Idaho Senate, Fulcher prioritizes finding alternatives to the ACA, restoring state control of public lands, and growing energy production"
ID-2,S001148,R,Mike Simpson,"Dentist and longtime state legislator with over two decades of experience representing Idaho in Congress; Simpson aims to advance the state's nuclear energy programs, improve land use, and strengthen disaster management"
IL-1,J000309,D,Jonathan Jackson,Legacy civil rights leader and career advocate and investor focuses on achieving racial justice through economic programs and reducing gun violence
IL-2,K000385,D,Robin Kelly,"A seasoned Illinois politico who represents a diverse Chicago district, Kelly prioritizes issues that impact marginalized communities, such as economic growth and health care reform"
IL-3,R000617,D,Delia C. Ramirez,"Daughter of Guatemalan immigrants whose early community service work led to her involvement in several nonprofits in the Chicago area; a two-term state representative, she defeated Justin Burau (R) to represent Illinois 3rd District in Congress"
IL-4,G000586,D,"Jesús ""Chuy"" García",Mexican-American immigrant who became involved in local politics to represent the Latin American Community; leveraged experience from the local to national level of government
IL-5,Q000023,D,Mike Quigley,Former political science professor who brings his reform-style politics from Chicago to Capitol Hill; focused on increased transparency and oversight of congressional operations
IL-6,C001117,D,Sean Casten,Biochemical engineer with career in green energy technology; heavily focused on creating tech-based solutions to the climate crisis
IL-7,D000096,D,Danny Davis,Progressive Illinois representative known for his closeness to his Chicago community and energetic style of communication
IL-8,K000391,D,Raja Krishnamoorthi,"A lawyer and businessman-turned politician, Krishnamoorthi advocates for policies that support the middle class, working families, and the environment"
IL-9,S001145,D,Jan Schakowsky,"An influential and progressive Democratic leader, Schakowsky has spent her career advocating for women's rights and consumer protections; enacts legislation to secure universal health care and guarantee seniors' protections"
IL-10,S001190,D,Bradley Schneider,"Democrat from affluent district combines moderate policies and pro-Israel stance, creating opportunities for bipartisanship"
IL-11,F000454,D,Bill Foster,"A businessman and scientist, Foster focuses his political career on combating opioid abuse, promoting scientific education, and pushing for financial transparency"
IL-12,B001295,R,Mike Bost,"A small business owner and former firefighter, Bost has worked to protect veterans, promote agriculture, and secure transportation funding in Congress"
IL-13,B001315,D,Nikki Budzinski,"A labor advocate, Democratic organizer, and former OMB chief of staff, Budzinski successfully ran for Illinois's competitive 13th District; 2022 House campaign focused on energy and economic development"
IL-14,U000040,D,Lauren Underwood,"Native of her district, Underwood was a registered nurse and health specialist before joining Congress to advocate for affordable health care "
IL-15,M001211,R,Mary Miller,"A farmer and Bible school teacher, Miller represents a heavily Republican Illinois district"
IL-16,L000585,R,Darin LaHood,"A former US federal prosecutor and Illinois state legislator, LaHood promotes his district's agricultural interests and opposes China's international influence"
IL-17,S001225,D,Eric Sorensen,"A well-known Northern Illinois meteorologist, Sorensen ran for office to advance his commitment to climate action"
IN-1,M001214,D,Frank J. Mrvan,"Local Indiana government official dedicated to helping low income populations, Mrvan's congressional campaign platform prioritized affordable health care and education policy "
IN-2,Y000067,R,Rudy Yakym,"Entrepreneur, political activist, and state GOP fundraiser who prioritizes conservative values and limited government in Congress"
IN-3,S001188,R,Marlin Stutzman,"Cattle rancher, farmer and former Representative for Indiana's 3rd District returns to his old office"
IN-4,B001307,R,Jim Baird,"Farmer and veteran with experience in state government; in Congress, Baird has prioritized growing the agricultural economy, fostering technological innovation, and addressing the opioid crisis"
IN-5,S000929,R,Victoria Spartz,Ukrainian immigrant whose background in the financial and education sectors inform her policy priorities in Congress
IN-6,S001229,R,Jefferson Shreve,Successful small business owner and former mayoral candidate elected to Congress
IN-7,C001072,D,Andre Carson,"With a background in law enforcement and counterterrorism and as the first Muslim to serve on the Intelligence Committee, he balances his steady support for security efforts with a concern for civil liberties"
IN-8,M001233,R,Mark Messmer,"Longtime state legislator with strong conservative, pro-Trump values who draws upon his experience as a small business owner"
IN-9,H001093,R,Erin Houchin,Former Senate staffer and current small business owner who dedicated her early career to children's issues; served eight years as state senator before resigning to make a second pass at representing Indiana's 9th Congressional District 
KS-1,M000871,R,Tracey Mann,"A fifth-generation Kansan who represents a rural, agricultural-dependent district in the House, Mann pledges to focus on agricultural policies and rural revitalization, while advancing conservative social policies "
KS-2,S001228,R,Derek Schmidt,Lifelong Kansan will bring his executive and legislative state government experience to Congress
KS-3,D000629,D,Sharice Davids,Transportation devotee and mixed martial artist with an economic development background in Native American communities
KS-4,E000298,R,Ron Estes,State treasurer turned representative whose background influences his fiscal policy-oriented platform; makes policy decisions with the larger goal of promoting economic development
KY-1,C001108,R,James Comer,"First-generation cattle farmer, Comer has spent two decades in elected office defending the agricultural and educational interests of rural Kentuckians"
KY-2,G000558,R,Brett Guthrie,"Army veteran with two decades of public service experience, Guthrie prioritizes technology, higher education, and health policy in the House"
KY-3,M001220,D,Morgan McGarvey,Louisville native with deep roots in Kentucky politics; ran for Congress after a decade defending Democratic priorities in the State Senate
KY-4,M001184,R,Thomas Massie,"A former electrical and mechanical engineer, Massie entered politics to limit the scope of the federal government and protect the civil liberties of northern Kentuckians "
KY-5,R000395,R,Hal Rogers,"Lifelong Kentuckian with four decades of congressional experience, Rogers' leadership roles have allowed him to push for economic development, national security, and substance abuse policies"
KY-6,B001282,R,Andy Barr,Conservative Kentuckian and former attorney who focuses on growing the state's signature industries and advocates for de-regulation in the energy and financial sectors
LA-1,S001176,R,Steve Scalise,"Native Louisianan propelled to party leadership early in his career, Scalise has long been an influential House Republican and vocal on offshore oil drilling and coastal restoration"
LA-2,C001125,D,Troy Carter,"A New Orleans native, Carter has served in state and local government for more than a decade; seeks to leverage his prior government experience and pragmatic instincts as the representative of Louisiana's sole Democratic district"
LA-3,H001077,R,Clay Higgins,"An Army veteran and former police officer, Higgins uses his service experience to promote national and border security on the House Homeland Security Committee"
LA-4,J000299,R,Mike Johnson,"A constitutional lawyer turned politician, Johnson quickly rose to Republican leadership in the House as a staunch advocate of religious freedoms and deregulation"
LA-5,L000595,R,Julia Letlow,"A higher education executive with years of experience in communications and marketing strategy, Letlow plans to focus on infrastructure, education, and agricultural issues in Congress"
LA-6,F000110,D,Cleo Fields,"First entered elected office at 24 years old, Fields has been a constant voice in Louisiana's political scene for over three decades"
MA-1,N000015,D,Richard Neal,"Self-described institutionalist, Neal favors practical policies and a relationship-based approach to leadership; promotes incremental, bipartisan solutions that put him at odds with more progressive Democrats"
MA-2,M000312,D,Jim McGovern,"Progressive focused on expanding diplomacy, promoting peace, and fighting hunger; utilizes parliamentary expertise in Rules Committee leadership"
MA-3,T000482,D,Lori Trahan,"A native of her district, Trahan leverages experience as a congressional staffer and in the private sector to address income inequality, emphasizing infrastructure, education, and health reforms"
MA-4,A000148,D,Jake Auchincloss,"Former Marine closely connected to the healthcare industry, Auchincloss's transportation background informs his support for infrastructure-based climate change policies"
MA-5,C001101,D,Katherine Clark,"Progressive rising star and vice chair of the Democratic Caucus; focuses on policies to improve education, maternal health, and workplace rights "
MA-6,M001196,D,Seth Moulton,Decorated veteran with elite educational background who has set his sights on higher office; vocal on defense and veterans' issues 
MA-7,P000617,D,Ayanna Pressley,"Progressive rising star and first Black woman elected to the U.S. House from MA; aims to advance equity in women's health, criminal justice reform, and consumer protection"
MA-8,L000562,D,Stephen Lynch,Former ironworker and employment attorney who focuses on labor and trade policies that protect working families and foster economic growth
MA-9,K000375,D,Bill Keating,Former district attorney and state legislator with decades of experience serving Cape Cod and the south shore of MA; aims to enhance U.S. counterterrorism capabilities and protect the coastal economy 
MD-1,H001052,R,Andy Harris,"Doctor, veteran, and state senator who entered Congress on the tea party wave and has since legislated from the right on the provider side of health care and a variety of other issues"
MD-2,O000176,D,Johnny Olszewski,Lifelong Baltimore resident and former high school teacher looking to replace Rep. Dutch Ruppersberger (D-MD-02) in the House
MD-3,E000301,D,Sarah K. Elfreth,"State senator and Towson University professor, Elfreth replaced John Sarbanes for the 119th Congress"
MD-4,I000058,D,Glenn Ivey,"A career attorney with a long history of public sector service, Ivey presents a robust platform addresses ranging from national gun licenses to Medicare for All"
MD-5,H000874,D,Steny Hoyer,Longtime congressional leader who prioritizes bills benefiting the middle class. Demonstrates amicability through camaraderie among Congress and constituents 
MD-6,M001232,D,April McClain-Delaney,"Experienced technology and communications policy advisor with strong Democratic connections, aiming to create legislation that protects children from online harm"
MD-7,M000687,D,Kweisi Mfume,"A Baltimore civil rights activist, Congress member, and former president of the NAACP, Mfume touts a diverse career fighting for African American civil rights and equality; continues to push for better access to education and health care "
MD-8,R000606,D,Jamie Raskin,"Constitutional lawyer and Washington, D.C. native who has achieved numerous leadership positions within the Democratic Caucus to fight for social justice reforms"
ME-1,P000597,D,Chellie Pingree,"Entrepreneur and organic farmer from a small island community, Pingree has spent three decades in local Maine politics; focuses on health care reform, economic policy, and agriculture issues "
ME-2,G000592,D,Jared Golden,"Native Mainer inspired to enter politics after serving in the military, Golden has prioritized drug pricing, veterans' health care, and labor issues throughout his time in state and national politics"
MI-1,B001301,R,Jack Bergman,"Midwesterner, veteran, and self-described family man who uses his entrepreneurial and military experience to shape federal policy on infrastructure, defense, and veterans' issues"
MI-2,M001194,R,John Moolenaar,"Chemist, businessman, and former state legislator who aims to grow the state economy with policy advancing agriculture, manufacturing, and tourism"
MI-3,S001221,D,Hillary Scholten,"A social worker and immigration attorney passionate about fighting injustice, Scholten sought to lower health care costs, inspire job creation, and ensure clean and safe drinking water"
MI-4,H001058,R,Bill Huizenga,"A former real estate developer elected in 2010 in a conservative western Michigan district, Huizenga focuses on the preservation of the Great Lakes and financial reform"
MI-5,W000798,R,Tim Walberg,"A minister and former state legislator now representing the outskirts of Metro Detroit in Congress, Walberg focuses on conservative health care reform, the state economy, and domestic energy production"
